"word","count"
"HillaryClinton",120076
"https",82347
"realDonaldTrump",13955
"Hillary",12040
"BernieSanders",10339
"Trump",10131
"that",9015
"DropOutHillary",8659
"will",8176
"your",8103
"this",7687
"ImWithHer",7158
"with",6801
"about",6147
"vote",5837
"have",4898
"just",4230
"Clinton",4095
"like",4043
"what",3997
"people",3440
"going",3328
"more",3301
"from",3176
"Trump2016",3071
"FeelTheBern",2978
"NeverHillary",2926
"FoxNews",2876
"would",2860
"they",2842
"t…",2813
"coal",2812
"hillaryclinton",2804
"women",2735
"than",2672
"MSNBC",2641
"want",2607
"when",2594
"Bernie",2571
"Indiana",2540
"know",2503
"What",2436
"time",2421
"America",2418
"should",2417
"think",2352
"This",2244
"http…",2239
"them",2234
"CrookedHillary",2172
"woman",2118
"INPrimary",2112
"POTUS",2099
"need",2058
"IndianaPrimary",2043
"never",1956
"https…",1927
"DonaldTrump",1924
"says",1913
"does",1880
"campaign",1877
"their",1821
"only",1797
"against",1775
"support",1760
"needs",1719
"said",1692
"BernieOrBust",1678
"make",1675
"Bill",1669
"Hillary2016",1658
"over",1613
"tedcruz",1613
"ht…",1539
"stop",1535
"c…",1520
"today",1516
"President",1515
"really",1497
"htt…",1490
"because",1486
"Benghazi",1477
"much",1460
"right",1456
"Obama",1447
"MAGA",1444
"back",1435
"Americans",1413
"mitchellreports",1406
"down",1399
"WomanCard",1381
"been",1372
"president",1364
"candidate",1361
"love",1351
"being",1327
"money",1324
"real",1323
"Donald",1323
"voting",1321
"supporters",1311
"wants",1310
"co…",1310
"next",1304
"then",1297
"better",1279
"WorldForBernie",1274
"country",1263
"card",1263
"SenSanders",1260
"billclinton",1245
"Love",1206
"They",1187
"November",1179
"That",1179
"When",1165
"Vote",1158
"NeilTurner",1154
"every",1154
"UniteBlue",1145
"speech",1143
"RogerJStoneJr",1140
"jobs",1136
"doesn",1133
"Democrats",1133
"there",1125
"Reince",1107
"womancard",1102
"politico",1101
"Here",1093
"first",1092
"FoxBusiness",1087
"good",1066
"ChloeGMoretz",1061
"friends",1047
"versus",1040
"even",1034
"here",1030
"getting",1023
"American",1023
"Sanders",1013
"beat",1011
"must",999
"find",990
"take",989
"were",985
"Just",984
"2016",978
"voters",977
"thing",976
"after",969
"many",962
"still",961
"server",957
"don’t",950
"WVPrimary",941
"trump",941
"plan",940
"email",940
"illegal",932
"give",930
"Watch",919
"done",918
"reservation",900
"BarbraStreisand",899
"sure",896
"NeverTrump",894
"work",894
"CAPrimary",890
"election",885
"racist",876
"BarackObama",874
"help",872
"Hispanics",871
"place",866
"stand",859
"TheDemocrats",857
"into",856
"immigrants",853
"care",851
"Live",849
"BREAKING",841
"Bush",838
"unite",834
"White",831
"same",829
"HillaryForPrison2016",828
"greta",821
"HillYes",820
"House",810
"miners",807
"those",799
"issue",799
"favorites",796
"MadeForHistory",795
"could",794
"hate",787
"believe",787
"Republicans",784
"ReleaseTheTranscripts",781
"After",780
"ShaunKing",776
"Pres",775
"tcot",774
"HILLARY",774
"polls",774
"polling",773
"DropOutBernie",772
"these",772
"single",771
"made",770
"realdonaldtrump",770
"most",767
"IngrahamAngle",761
"years",755
"WomansCardDay",752
"anything",750
"other",750
"lies",748
"WHERE",743
"change",736
"very",729
"Secretary",724
"world",723
"47246",722
"saying",721
"Text",720
"Republican",715
"head",713
"gets",708
"liar",707
"look",705
"include",705
"agree",701
"sZqWV6DCfn",701
"speak",698
"JordanChariton",698
"Guccifer",694
"votes",689
"again",683
"focus",682
"business",679
"wins",676
"keep",675
"TedCruz",673
"live",671
"well",667
"show",663
"h…",663
"party",662
"running",661
"children",654
"miner",653
"under",648
"nothing",648
"talk",644
"trust",643
"lying",641
"ShesWithUs",639
"GUNS",637
"best",635
"CorruptHillary",633
"eddie1971nyc",631
"some",628
"days",622
"politics",621
"discount",620
"purchases",617
"Your",617
"primary",614
"another",606
"2xi…",605
"3DgpQSy3qb",605
"voted",605
"225k",604
"vivelafra",604
"please",600
"behind",600
"name",598
"Woman",597
"prefer",596
"TRUMP",587
"Coal",583
"Support",578
"MSZnR…",576
"OK…",573
"come",573
"makes",573
"DWStweets",571
"foreign",570
"great",570
"coming",570
"criminal",567
"send",566
"Card",559
"I’m",559
"Crooked",558
"between",557
"Will",557
"case",556
"DealMeIn",556
"Women",554
"There",553
"didn",552
"thinks",551
"plans",548
"HillaryPix",547
"already",545
"“Even",543
"general",543
"rights",542
"California",541
"ever",540
"Rape",539
"mean",538
"also",538
"PpH…",536
"TrumpTrain",535
"anyone",534
"tell",529
"news",528
"prison",528
"Being",528
"JudgeJeanine",528
"Election2016",527
"called",527
"policy",526
"deal",525
"jaketapper",525
"nominee",525
"before",522
"knows",522
"future",519
"child",517
"HIllaryClinton",517
"Campaign",516
"hope",516
"truth",515
"pjnet",514
"video",513
"Romanian",513
"Quora",512
"Confronted",510
"MakeAmericaGreatAgain",510
"donaldtrump",510
"Juanita",508
"while",506
"ChelseaClinton",505
"state",505
"race",504
"create",504
"everyone",500
"reflect",496
"something",495
"poll",494
"Greta",494
"Repub",493
"playing",492
"AndreaTantaros",489
"VOTE",487
"jail",487
"Broaddrick",487
"transcripts",484
"News",483
"where",483
"interview",482
"sums",482
"VoterSuppression",481
"left",480
"Describes",480
"StillSanders",479
"Reported",478
"BernieVolunteer",478
"presidency",478
"brilliant",476
"both",476
"white",476
"beautiful",475
"hard",473
"talking",471
"Wall",469
"having",469
"PaulBegala",468
"trending",468
"With",467
"mikandynothem",466
"seanhannity",462
"Candidate",462
"issues",462
"means",460
"easily",459
"policies",459
"tonight",459
"West",459
"chance",453
"last",453
"Hoosiers",452
"NeverClinton",452
"Dear",450
"reason",450
"you’re",449
"call",448
"true",443
"HillarySoQualified",443
"economy",440
"CHILLING",440
"HillNo",440
"read",438
"play",438
"Ohio",437
"expose",434
"emails",433
"Please",431
"davidbrockdc",430
"nutshell",429
"held",428
"Democratic",428
"Cruz",427
"until",427
"little",426
"things",426
"Open",423
"Real",422
"life",422
"supporting",422
"wait",421
"destroy",420
"always",418
"hiding",417
"long",417
"Blankenship",416
"speaking",414
"tells",414
"swapapilots",413
"gave",411
"sitting",411
"Presidential",410
"husband",409
"Street",407
"hillary",406
"person",406
"comments",405
"Democrat",403
"More",402
"drop",402
"political",401
"troll",400
"Twitter",400
"fence",399
"winning",399
"1CClTdef0F",397
"millions",397
"higher",396
"safety",396
"fight",394
"WDFx2EU1",393
"less",392
"Killary",391
"mistake",390
"Party",388
"NEVER",387
"republican",386
"attack",386
"Great",386
"accountable",385
"it’s",384
"Only",384
"spare",383
"enough",383
"paid",382
"BobbyTBD",382
"it…",382
"Hacker",382
"hacker",382
"Never",381
"NaphiSoc",381
"compassion",380
"Thanks",379
"using",378
"posturing",375
"Best",375
"Israel",375
"someone",375
"Virginia",374
"newtgingrich",374
"berniesanders",374
"Thank",373
"Server",373
"corrupt",373
"words",372
"without",371
"gonna",371
"wrong",368
"EstoyConHillary",366
"Does",364
"trying",364
"course",364
"private",363
"opponent",363
"Dems",362
"speaks",362
"actually",361
"friend",360
"Hillary2016Pres",360
"shut",359
"shows",359
"thinking",359
"Illegal",358
"since",357
"CincoDeMayo",357
"People4Bernie",355
"Madam",355
"returns",354
"division",354
"face",354
"fighting",354
"stakes",354
"evil",353
"shit",352
"online",351
"piece",350
"NBCNews",349
"selfishness",349
"nomination",349
"used",348
"attacks",348
"People",346
"ahead",345
"metafizik",345
"Unity",345
"Vito",344
"nytimes",343
"TheBriefing2016",343
"ImagineAnna",343
"making",341
"qualified",340
"breached",340
"Good",339
"working",339
"JohnKasich",337
"part",336
"HunterHRC2016",336
"blatantly",336
"away",335
"apologize",335
"speeches",334
"lesliermyers",333
"lose",333
"putting",332
"WakeUpAmerica",332
"JaredWyand",331
"forget",331
"months",330
"Want",329
"together",329
"public",327
"WhichHillary",327
"anti",327
"doing",327
"Tell",326
"disregarding",326
"free",325
"industry",325
"human",323
"illegals",323
"either",323
"Make",321
"Establishment",321
"power",321
"million",320
"From",320
"described",320
"elected",320
"watch",318
"FROM",318
"year",318
"tahino1",316
"cannot",316
"FeelTheMath",316
"open",315
"PlaysTrumpCard",315
"operation",315
"loose",315
"points",314
"dont",312
"elizabethforma",312
"killed",312
"5zLu0WsADN",311
"RELEASE",310
"Hillary’s",309
"which",309
"least",308
"elect",307
"Sorry",307
"states",307
"hear",306
"aren",306
"everything",306
"grow",305
"feel",305
"SenWarren",305
"LindaSuhler",304
"Super",304
"national",303
"media",303
"RandPaul",302
"defeat",302
"military",301
"fact",301
"such",299
"SpeakerRyan",299
"understand",298
"thought",298
"TRANSCRIPTS",297
"GOPdebate",297
"laundering",297
"point",297
"lied",296
"TY0ElIL5Q8",296
"families",296
"carry",295
"dropouthillary",294
"Kentucky",293
"fast",293
"else",293
"Athens",293
"ready",293
"message",293
"democrat",292
"stupid",292
"around",292
"warmongering",292
"bring",292
"democracy",292
"Poll",290
"Check",290
"female",290
"State",290
"stay",289
"hell",289
"dealing",289
"candidates",287
"Rubberblon",287
"presidential",286
"legacy",286
"picture",286
"Zika",286
"Romney",286
"LIAR",285
"teachers",285
"took",284
"Liar",284
"history",284
"home",284
"StopHillary",284
"United",284
"crooked",284
"WATCH",283
"telling",283
"CorrectRecord",283
"Bernie2016",283
"HillaryClinton’s",282
"RealJamesWoods",282
"BillClinton",281
"DemPrimary",281
"team",281
"lives",281
"LEFT",281
"full",281
"THIS",280
"rr4j1Pj1Zz",280
"hands",280
"told",279
"TrumpRally",279
"share",278
"Election",278
"violence",278
"afford",278
"CNNPolitics",278
"indicted",278
"clear",276
"YouTube",276
"General",275
"given",275
"supporter",274
"Conservative",274
"ONLY",273
"kill",273
"maddow",273
"Norwegian",273
"Email",273
"allow",272
"worse",272
"choice",272
"word",272
"bitch",271
"family",271
"release",271
"RedRising11",270
"Hello",269
"story",269
"late",268
"YOUR",268
"WILL",268
"Well",268
"imwithher",267
"lost",267
"problem",267
"supports",267
"Independents",267
"SoCal4Trump",267
"deserve",266
"investigation",266
"drewwyatt",266
"rally",266
"WITCH",266
"WhiteHouse",265
"latest",263
"failed",263
"Where",263
"East",262
"rules",262
"difference",262
"security",261
"Really",261
"GhQSsnQVdC",260
"thehill",260
"tweet",259
"amazing",259
"yourself",259
"coalminers",259
"Lies",258
"aides",258
"spread",258
"maybe",258
"raise",258
"beer",257
"honestly",257
"Secret",255
"past",255
"absolutely",255
"CNNSitRoom",255
"endorses",255
"evidence",254
"Muslims",254
"Stop",253
"RedNationRising",253
"energy",253
"virus",253
"NumbersUSA",252
"migrant",252
"matter",251
"liberal",251
"debate",250
"hours",250
"😏",250
"risk",249
"question",249
"PrimaryDay",249
"become",249
"0WGUIGQbnr",249
"agenda",249
"taking",248
"Years",248
"documents",247
"Time",246
"AINF",246
"continue",246
