"word","count"
"https",118962
"the",19297
"you",13761
"que",13591
"and",10903
"for",8991
"…",5888
"من",5246
"this",5134
"that",4984
"with",4838
"The",4689
"الله",4171
"amp",4054
"your",3842
"في",3709
"from",3672
"are",3404
"like",3372
"por",3333
"para",3328
"have",3223
"con",2949
"can",2944
"all",2901
"just",2892
"but",2678
"out",2636
"not",2590
"get",2456
"على",2450
"love",2447
"los",2432
"لا",2421
"when",2403
"was",2372
"não",2279
"اللهم",2222
"You",2167
"Weather",2167
"what",2163
"will",2076
"don",2064
"one",2007
"about",1984
"Get",1967
"las",1906
"del",1896
"people",1883
"they",1821
"2016",1785
"now",1765
"This",1720
"una",1692
"com",1684
"know",1635
"her",1629
"via",1623
"who",1568
"como",1518
"how",1495
"time",1491
"see",1488
"😂",1471
"his",1463
"pra",1451
"new",1449
"Updates",1442
"ما",1431
"YouTube",1411
"has",1403
"day",1400
"mas",1385
"want",1357
"more",1323
"good",1319
"When",1310
"she",1281
"mais",1245
"got",1238
"video",1230
"ser",1214
"our",1176
"here",1137
"today",1104
"too",1099
"need",1090
"más",1089
"uma",1088
"back",1087
"t…",1083
"much",1080
"عن",1079
"think",1068
"May",1059
"Que",1048
"todo",1034
"What",1024
"pero",1014
"life",1007
"some",1006
"make",1002
"them",993
"really",989
"over",973
"right",972
"vida",971
"never",941
"est",940
"there",939
"يا",927
"كل",924
"going",923
"only",917
"Trump",906
"been",905
"les",902
"New",877
"Now",874
"their",871
"would",860
"meu",856
"https…",843
"And",840
"someone",834
"best",828
"still",827
"ولا",820
"than",818
"him",815
"That",811
"http",811
"ever",810
"c…",809
"why",803
"سبحان",798
"off",798
"even",796
"say",795
"first",783
"son",783
"look",779
"these",765
"http…",759
"lol",756
"girl",752
"nada",749
"Just",743
"Channel",742
"How",742
"cuando",741
"😂😂",740
"أن",740
"minha",738
"had",738
"shit",736
"always",735
"man",732
"gente",729
"THE",728
"Harry",721
"انا",720
"because",716
"tonight",715
"For",713
"theweatherchannel",709
"ver",709
"اللي",704
"co…",696
"pas",696
"did",696
"nos",688
"إلا",685
"after",684
"night",684
"😍",682
"tem",679
"só",676
"happy",675
"follow",671
"into",669
"لي",668
"work",667
"Your",666
"bien",664
"—",663
"اضغط",662
"esta",660
"quem",656
"você",656
"down",655
"vai",655
"then",653
"سكس",653
"❤️",650
"should",649
"being",645
"ALDUBBonVoyage",643
"take",640
"way",640
"amor",637
"wanna",634
"porque",633
"could",629
"Can",629
"show",624
"come",622
"todos",622
"Love",620
"last",620
"está",618
"RIPHarrysHair",607
"مع",603
"العظيم",603
"dia",597
"feel",584
"better",579
"هذا",578
"year",577
"things",575
"were",574
"este",573
"Why",571
"great",570
"tweet",564
"htt…",563
"person",559
"next",558
"quiero",558
"win",558
"gonna",558
"world",557
"watch",555
"YOU",555
"friends",554
"let",551
"bot",551
"casa",550
"vou",550
"give",547
"THIS",542
"pessoas",540
"every",536
"nunca",532
"–",528
"ان",525
"before",524
"again",524
"mal",524
"made",523
"quando",522
"día",521
"fuck",521
"She",519
"game",518
"علي",518
"hay",513
"des",513
"Day",513
"Only",510
"hoy",509
"Her",509
"Bid",508
"something",508
"Who",507
"week",507
"Don",506
"100",506
"home",502
"its",496
"amo",496
"😂😂😂",492
"other",491
"mejor",491
"thank",490
"real",486
"بسم",486
"hate",485
"mundo",483
"beautiful",481
"With",481
"most",480
"sin",477
"said",476
"ht…",476
"But",476
"tell",474
"hair",473
"seu",472
"isso",470
"dos",468
"bad",468
"Twitter",467
"All",466
"They",462
"vídeo",460
"baby",459
"tiene",459
"لك",457
"já",456
"رب",455
"Good",452
"solo",451
"miss",451
"hope",450
"QUE",449
"foi",449
"thing",447
"Los",447
"algo",446
"foto",444
"guys",443
"عند",443
"إله",442
"London",442
"please",441
"ass",441
"free",440
"where",440
"ela",439
"everyone",437
"getting",434
"years",433
"Thank",432
"هو",431
"well",431
"find",430
"له",429
"pour",428
"بس",428
"same",427
"stop",426
"mom",426
"little",424
"siempre",424
"tomorrow",422
"help",420
"لو",420
"muito",419
"wait",418
"ele",415
"بها",413
"une",412
"long",410
"tudo",409
"بعد",409
"God",409
"000",409
"❤",408
"two",407
"estoy",406
"Happy",405
"talk",404
"live",404
"Cuando",404
"Black",404
"won",403
"vez",402
"play",401
"bir",401
"doing",400
"Facebook",399
"الرابط",399
"didn",398
"siga",397
"Não",397
"MTVMiaw",396
"many",395
"everything",395
"days",392
"yang",392
"away",387
"realDonaldTrump",386
"إن",386
"mesmo",385
"hacer",384
"music",383
"ter",383
"One",383
"girls",383
"done",381
"das",381
"Thanks",381
"😭",377
"eso",376
"hace",375
"fazer",375
"voy",375
"cute",374
"estar",373
"any",372
"already",372
"fucking",371
"friend",371
"عندك",371
"así",370
"makes",368
"tan",368
"nem",368
"sure",367
"tanto",367
"aqui",365
"heart",365
"qui",364
"Are",364
"😊",364
"h…",363
"school",362
"very",361
"Have",360
"own",360
"Retweet",359
"ready",359
"song",358
"amazing",358
"believe",358
"sobre",357
"hard",357
"job",357
"Not",356
"keep",355
"does",354
"cara",354
"myself",354
"See",354
"Por",354
"💕",354
"sur",353
"muy",353
"والله",353
"sus",352
"tengo",351
"bem",351
"thanks",351
"actually",350
"essa",350
"عليه",350
"After",349
"dan",349
"كان",348
"tá",348
"another",348
"era",347
"يوم",346
"old",346
"says",345
"Friday",345
"Check",344
"Like",343
"hoje",343
"liked",342
"مِنْ",342
"Styles",342
"doesn",342
"Como",340
"قروب",340
"birthday",339
"final",336
"call",335
"الذكر",334
"quero",334
"face",333
"perfil",333
"vos",332
"Hoy",331
"big",330
"photo",330
"around",328
"put",328
"weekend",327
"المنزل",325
"qué",324
"while",324
"ربي",323
"sei",323
"pessoa",322
"mean",321
"Video",321
"pretty",321
"الذين",320
"through",320
"looks",320
"may",319
"Let",319
"BTS",319
"tão",318
"cosas",318
"sou",318
"His",318
"fun",317
"seguidores",316
"قال",316
"yourself",316
"melhor",316
"AND",315
"Justin",315
"sua",314
"Here",313
"مش",312
"الدنيا",312
"LOVE",311
"الناس",310
"esse",310
"دعاء",310
"gets",309
"lot",309
"nice",307
"وبحمده",307
"alguien",307
"wrong",306
"mucho",304
"money",304
"Today",304
"top",304
"LIVE",303
"笑",303
"twitter",303
"sempre",303
"sem",302
"morning",302
"party",302
"ça",301
"end",301
"until",301
"team",300
"Chyna",300
"الحساب",300
"looking",300
"semana",300
"wish",300
"About",299
"بِكَ",299
"puede",299
"fue",299
"vamos",298
"Follow",298
"Watch",297
"chance",297
"cada",297
"part",296
"name",296
"ahora",296
"🙄",296
"anything",295
"those",295
"mim",295
"having",294
"menos",294
"personas",294
"People",294
"Never",292
"Best",292
"try",292
"الكتاب",292
"cool",291
"trying",291
"ain",291
"إلى",289
"・",289
"Will",289
"سريع",288
"soy",288
"dar",288
"start",288
"There",287
"sea",287
"NEW",287
"nao",287
"منزل",287
"black",286
"support",285
"pelo",285
"ثم",285
"bitch",285
"From",284
"Hillary",284
"agora",284
"Blac",284
"nothing",284
"tenho",283
"coming",283
"mis",282
"yes",281
"Ekeng",280
"Please",280
"Girl",280
"feliz",280
"الأحزاب",280
"news",279
"2015",279
"enough",278
"Battlefield",278
"ده",278
"اهزم",278
"care",277
"These",277
"playing",276
"thought",275
"summer",275
"هناك",274
"Great",272
"الاعلان",272
"check",271
"amigos",271
"hasta",271
"justinbieber",271
"Time",270
"Khan",270
"VIDEO",270
"left",269
"حتى",269
"♡",269
"Las",269
"story",269
"Donald",268
"sale",267
"وعلى",267
"found",267
"Out",267
"hit",267
"Hey",267
"moment",266
"guy",266
"toda",265
"quien",265
"Life",265
"such",264
"coisa",264
"hora",264
"use",264
"años",264
"gotta",264
"لم",263
"finally",261
"إني",261
"نوح",261
"トレクル",260
"gracias",260
"🔥",260
"making",259
"Gracias",259
"Man",259
"family",259
"vote",257
"mãe",257
"بين",257
"يارب",257
"dans",256
"change",255
"sabe",255
"Free",255
"Come",255
"proud",255
"times",254
"fan",254
"esto",253
"Patrick",253
"”",253
"Sex",253
"vous",252
"soon",252
"fans",251
"volta",251
"ganas",250
"فيديو",250
"plus",250
"checked",250
"also",250
"vía",250
"انت",250
"sleep",249
"America",249
"persona",249
"mañana",248
"ربنا",248
"movie",248
"car",248
"true",247
"desde",247
"More",246
"mind",246
"horas",246
"ainda",246
"dormir",245
"غير",245
"boy",245
"tiempo",244
"até",244
"ficar",244
"stay",243
"anyone",243
"الا",243
"160506",242
"moi",242
"فيه",242
"phone",242
"🤔",242
"wants",241
"lindo",241
"posted",241
"hours",241
"both",241
"yeah",241
"puedo",240
"together",239
"نيك",239
"sorry",238
"كما",238
"uno",238
"yet",237
"News",236
"might",236
"die",236
"Con",236
"nuevo",236
"ese",234
"since",233
"food",233
"avec",233
"veces",233
"ask",233
"160507",232
"run",232
"Live",231
"♥",231
"gusta",231
"esa",231
"tener",230
"قبل",229
"Quiero",229
"else",229
"قلبي",229
"tus",229
"excited",228
"hear",228
"بك",228
"queria",228
"place",228
"house",227
"girlposts",227
"на",227
"وارحمنا",227
"post",226
"Make",226
"leave",226
"high",226
"EthanDolan",226
"non",226
"1st",226
"assim",225
"شي",225
"eres",225
"عليك",225
"ama",225
"العرش",225
"todas",224
"remember",224
"needs",223
"للدعم",223
"sad",223
"hot",223
"FOR",223
"اللّهُـمَّ",222
"online",222
"WriteOnMeMusicVideo",222
"😒",222
"pode",221
"meet",221
"•",221
"mon",221
"Gostei",220
"Mother",220
"WATCH",219
"Paul",219
"RevivalTour",219
"عافِـني",219
"💔",219
"whole",219
"antes",218
"tweets",218
"Sadiq",218
"though",218
"omg",218
"GraysonDolan",218
"tempo",217
"which",217
"linda",216
"gone",216
"cause",216
"media",216
"ago",216
"art",215
"おはようございます",215
"أنت",214
"donde",214
"lmao",213
"الذي",213
"full",213
"minutes",213
"watching",212
"SOY",212
"pro",212
"NOW",212
"called",212
"momento",212
"damn",211
"idea",210
"falta",210
"Les",210
"women",210
"read",209
"أنا",209
"أو",209
"مني",209
"without",209
"Lol",209
"contra",209
"saying",208
"visto",208
"محمد",208
"viernes",208
"dog",208
"عني",208
"😂😂😂😂",207
"Para",207
"First",207
"　",207
"nigga",207
"quer",206
"Clinton",206
"kids",206
"goes",206
"ALL",206
