"word","count"
"HillaryClinton",14998
"BernieSanders",12868
"https",9995
"the",4167
"for",2385
"you",1800
"FeelTheBern",1778
"DropOutHillary",1705
"amp",1682
"and",1622
"ImWithHer",1610
"SenSanders",1566
"…",1557
"Sanders",1555
"realDonaldTrump",1422
"are",1168
"that",1096
"Bernie",1053
"Trump",959
"not",932
"can",931
"has",873
"BernieOrBust",771
"will",771
"NeverHillary",758
"this",688
"what",672
"WorldForBernie",663
"Indiana",654
"tedcruz",654
"UniteBlue",649
"TheDemocrats",631
"win",627
"she",616
"StillSanders",607
"vote",598
"her",592
"DonaldTrump",590
"INPrimary",583
"DropOutBernie",579
"CAPrimary",563
"about",548
"Hillary",547
"HillaryPix",546
"won",545
"out",535
"with",527
"hillaryclinton",511
"WVPrimary",500
"politico",500
"The",495
"all",493
"IndianaPrimary",493
"would",479
"CrookedHillary",475
"supporters",475
"http…",469
"VoterSuppression",460
"berniesanders",428
"ht…",423
"FBI",412
"have",389
"who",389
"why",380
"against",379
"than",378
"more",377
"THE",377
"Hey",377
"wants",372
"Clinton",369
"ShesWithUs",369
"over",368
"like",367
"POTUS",367
"but",365
"primary",359
"CNN",352
"now",350
"they",343
"from",343
"MSNBC",343
"DWStweets",338
"your",328
"need",320
"What",317
"RELEASE",315
"TRANSCRIPTS",314
"https…",310
"realdonaldtrump",306
"still",299
"DNC",298
"money",295
"never",294
"get",294
"don",294
"hiding",287
"stop",271
"must",268
"his",267
"campaign",263
"should",258
"You",258
"winning",257
"c…",255
"says",253
"people",253
"just",250
"was",250
"chance",249
"HillYes",248
"NaphiSoc",245
"janeosanders",244
"Democrats",242
"JohnKasich",241
"support",239
"via",235
"swapapilots",230
"GOP",227
"BobbyTBD",225
"BernieSanderss4",224
"People4Bernie",224
"want",223
"only",223
"New",222
"say",221
"t…",221
"points",220
"gave",218
"FoxNews",217
"ahead",217
"one",217
"their",216
"how",216
"Dem",216
"candidate",214
"womancard",211
"NateSilver538",209
"JordanChariton",208
"poll",206
"been",206
"ppppolls",206
"GunnelsWarren",202
"HillNo",202
"West",202
"Virginia",200
"them",199
"needs",196
"because",195
"Why",195
"know",193
"yet",193
"Super",193
"She",190
"BernieVolunteer",189
"NBCNews",188
"does",187
"convention",184
"BREAKING",182
"changed",180
"h…",178
"Has",177
"see",174
"good",173
"NotWithHer",172
"HRC",172
"him",171
"time",169
