"word","count"
"https",18322
"DonaldTrump",10839
"realDonaldTrump",7889
"HillaryClinton",6313
"Trump",3414
"Trump2016",2258
"America",2089
"Thank",1910
"Donald",1835
"FoxNews",1764
"tiExz8YhFT",1682
"Hkt3YNccb0",1682
"TedCruz",1482
"donaldtrump",1420
"just",1365
"California",1273
"tedcruz",1269
"protesters",1158
"like",1070
"more",1050
"will",1037
"speech",985
"INPrimary",841
"Indiana",828
"trump2016",823
"this",811
"CAGOPConvention",795
"hillaryclinton",793
"That",790
"that",790
"IndianaPrimary",760
"with",711
"felt",685
"realdonaldtrump",675
"ever",662
"down",647
"read",645
"made",623
"mentioned",621
"what",619
"IngrahamAngle",613
"WATCH",603
"make",588
"border",578
"entrance",577
"outside",575
"crossing",572
"jokes",548
"easiest",546
"have",544
"site",541
"avoid",541
"barricade",541
"fence",541
"jumping",540
"Republicans",540
"about",533
"time",513
"Burlingame",506
"MSNBC",502
"going",487
"M…",474
"your",463
"from",452
"JudgeJeanine",450
"think",448
"This",444
"says",440
"BernieSanders",435
"VOTE",431
"Hillary",423
"real",422
"co…",416
"really",411
"swapapilots",407
"trump",401
"prefer",398
"wins",394
"Cruz",390
"tonight",390
"t…",382
"sitting",379
"vote",375
"posturing",373
"spare",371
"liar",370
"it…",370
"would",369
"LYIN",367
"NeverTrump",358
"Self",350
"Serving",350
"when",349
"What",349
"unite",347
"DESPERATE",344
"focus",339
"opponent",335
"it’s",330
"wall",323
"over",312
"RogerJStoneJr",303
"against",302
"Nation",300
"berniesanders",295
"said",293
"Under",289
"only",288
"supporters",287
"tell",278
"than",274
"https…",274
"pathological",273
"http…",270
"BobNBC",262
"CNNHD",256
"jump",256
"should",255
"MakeAmericaGreatAgain",249
"women",249
"Will",244
"willbarrett",236
"American",236
"convention",233
"great",228
"campaign",227
"politics",225
"supporter",225
"CruzFiorina",222
"indianaPrimary",222
"MAGA",221
"EK1m2nuT…",220
"they",219
"TrumpTrain",217
"people",215
"Nebraska",214
"c…",208
"must",203
"foreign",201
"htt…",200
"trumptrain",197
"never",195
"take",195
"himself",195
"back",194
"mitchellreports",189
"being",189
"noon",187
"Indianapolis",187
"Republican",181
"could",176
"middle",176
"competition",174
"Ever",172
"into",171
"makeamericagreatagain",171
"happens",169
"protest",169
"Then",168
"Washington",168
"election",167
"after",167
"Aviation",167
"POTUS",165
"stop",164
"again",164
"woman",162
"them",161
"inserts",161
"Gone",160
"person",160
"CrookedHillary",159
"jobs",158
"Obama",158
"FoxBusiness",158
"UAxYqsS1…",157
"family",157
"Carly",156
"rally",156
"want",155
"here",155
"growing",155
"BreitbartNews",155
"Election2016",154
"Fiorina",153
"Skies",151
"Open",151
"Clinton",150
"Some",149
"OldBlackHack",149
"DumpTrump",149
"Forget",148
"ASwoyer",146
"good",146
"2ALAW",145
"know",145
"better",144
"Watch",143
"ironic",143
"rossr122",143
"deliver",142
"during",142
"piece",141
"President",139
"right",139
"ry1uGp3F…",137
"rafshmatko",137
"RavenHUWolf",137
"Says",136
"speaks",136
"Make",135
"FNCHD",135
"endorses",135
"their",134
"support",133
"Oregon",133
"womancard",133
"phony",133
"need",132
"Hotel",131
"does",131
"manufactured",128
"NatashaABC7",128
"general",128
"poll",127
"start",127
"endorsement",127
"YOaZbi8KO7",126
"card",126
"care",125
"beat",125
"CarlyFiorina",125
"Protesters",124
"then",122
"shows",122
"Rasmussen",120
"ht…",118
"head",118
"TRUMP",118
"blocking",118
"Industry",117
