"word","count"
"https",120278
"Trump",80483
"realDonaldTrump",76170
"are",56678
"The",55408
"Hispanics",55007
"taco",54325
"love",53952
"made",53223
"Tower",53061
"https…",52888
"bowls",52693
"best",52672
"CincoDeMayo",52618
"Happy",52177
"Grill",52158
"ufoTeQd8yA",51599
"HillaryClinton",37374
"the",26297
"DonaldTrump",25108
"you",12256
"for",11497
"and",10260
"…",8119
"amp",7090
"Trump2016",6705
"will",6552
"not",6133
"Donald",5959
"that",5608
"this",5526
"GOP",4102
"with",3925
"FoxNews",3656
"Hillary",3651
"his",3526
"just",3491
"America",3475
"about",3473
"who",3428
"was",3357
"vote",3218
"can",3147
"all",3109
"This",3052
"have",3051
"like",3010
"out",2975
"trump",2960
"NeverTrump",2943
"your",2768
"has",2646
"more",2451
"get",2450
"BernieSanders",2414
"donaldtrump",2395
"what",2362
"Thank",2157
"MAGA",2111
"You",2038
"him",2022
"What",2000
"think",1997
"from",1985
"TedCruz",1980
"says",1962
"when",1961
"than",1872
"she",1869
"Clinton",1818
"going",1776
"don",1751
"t…",1741
"her",1734
"tiExz8YhFT",1722
"Hkt3YNccb0",1722
"Republican",1711
"speech",1687
"tedcruz",1619
"people",1602
"would",1593
"down",1577
"they",1572
"but",1562
"TRUMP",1509
"htt…",1507
"TrumpTrain",1495
"say",1474
"CNN",1467
"needs",1433
"California",1421
"support",1412
"won",1406
"tweet",1399
"now",1391
"how",1389
"real",1374
"ImWithHer",1366
"want",1360
"know",1344
"protesters",1344
"unite",1321
"bowl",1312
"President",1299
"make",1295
"That",1284
"over",1267
"http…",1260
"got",1247
"loves",1241
"one",1238
"co…",1237
"ever",1227
"hillaryclinton",1202
"really",1199
"should",1198
"against",1198
"nominee",1197
"our",1184
"DropOutHillary",1142
"only",1138
"c…",1135
"campaign",1133
"beat",1132
"need",1128
"ht…",1106
"MSNBC",1104
"time",1103
"racist",1065
"poll",1062
"Mexican",1056
"Obama",1054
"wall",1042
"Hispanic",1028
"Bush",1019
"MakeAmericaGreatAgain",1018
"INPrimary",1011
"said",1005
"Republicans",1005
"their",993
"party",988
"November",978
"president",965
"Indiana",965
"POTUS",959
"election",949
"never",940
"supporters",939
"why",926
"wants",922
"realdonaldtrump",920
"trump2016",920
"VOTE",917
"better",917
"HRC",916
"man",913
"Cruz",911
"stop",909
"CrookedHillary",893
"even",892
"see",891
"way",884
"Not",883
"WATCH",881
"back",872
"And",871
"IndianaPrimary",868
"getting",855
"women",853
"CAGOPConvention",852
"politics",840
"NeverHillary",838
"via",837
"💩",835
"latest",832
"Democrats",817
"thing",814
"Vote",813
"Who",812
"win",811
"SpeakerRyan",809
"country",807
"Bernie",802
"Bill",796
"She",790
"USA",788
"Can",779
"negative",770
"prove",770
"then",766
"among",765
"hate",760
"Don",758
"rating",757
"read",755
"had",755
"them",754
"NOT",749
"Reince",748
"did",743
"does",735
"defeat",729
"per",726
"take",724
"much",720
"DanScavino",718
"For",718
"NBC",714
"Americans",711
"After",710
"positive",707
"WSJ",704
"candidate",703
"right",702
"approval",701
"felt",697
"good",695
"que",694
"Crooked",686
"How",685
"there",683
"must",679
"issue",676
"bidi",674
"bom",674
"great",668
"focus",667
"Pres",665
"Secretary",664
"GUNS",654
"ass",650
"IngrahamAngle",649
"because",647
"liar",641
"mentioned",636
"FoxBusiness",632
"voting",626
"tacos",623
"let",623
"border",620
"THE",617
"doesn",615
"Nebraska",614
"been",614
"American",610
"thinks",610
"225k",603
"BarbraStreisand",603
"25m",601
"WestVirginia",601
"presumptive",600
"outside",598
"news",592
"could",591
"CorruptHillary",591
"tell",589
"jokes",588
"most",588
"2016",588
"voters",587
"Why",583
"seanhannity",581
"They",580
"crossing",580
"OK…",579
"entrance",579
"next",577
"h…",576
"after",573
"illegal",571
"makes",564
"avoid",563
"Now",561
"site",560
"Ryan",559
"wins",558
"Cinco",556
"same",555
"prefer",555
"easiest",554
"fence",553
"jumping",551
"here",551
"yet",551
"JebBush",550
"being",550
"5SDZrRz4r9",546
"barricade",546
"House",545
"CarrieNBCNews",545
"Mayo",544
"RogerJStoneJr",543
"gets",538
"NeverClinton",537
"Burlingame",536
"Card",534
"behind",533
"YOU",532
"Will",528
"Being",525
"Washington",524
"Mexicans",524
"2ALAW",522
"presidential",522
"Benghazi",520
"woman",519
"fuck",518
"When",516
"Rape",515
"any",514
"White",514
"FeelTheBern",512
"too",512
"first",510
"TY0ElIL5Q8",510
"person",509
"ready",507
"called",507
"JudgeJeanine",506
"Are",504
"show",503
"fried",503
"become",501
"con",501
"Juanita",497
"new",492
"Oregon",491
"M…",488
"Get",488
"Ted",484
"HIllaryClinton",484
"tonight",481
"it’s",479
"Campaign",478
"VoteTrump",478
"job",477
"running",476
"into",475
"Broaddrick",475
"Confronted",474
"eats",474
"Describes",474
"Reported",473
"around",473
"LYIN",472
"again",468
"immigrants",468
"card",467
"every",463
"food",462
"There",461
"LindaSuhler",454
"joshgremillion",454
"off",454
"work",453
"believe",446
"jump",444
"vivelafra",442
"please",439
"CHILLING",438
"agree",438
"wait",437
"help",434
"still",434
"done",433
"today",428
"serve",426
"WVA",426
"may",425
"Party",423
"mitchellreports",418
"God",418
"talk",415
"SpecialReport",414
"war",414
"nothing",414
"swapapilots",413
"gays",411
"por",411
"deport",411
"both",409
"Woman",409
"Paul",405
"Love",403
"joke",403
"100",403
"Romney",403
"some",401
"LouDobbs",399
"Sanders",399
"saying",398
"keep",398
"DumpTrump",398
"big",396
"All",396
"TheHalliCJShow",394
"But",393
"head",392
"supporter",391
"foreign",391
"BBCBreaking",391
"Former",390
"lead",389
"sitting",389
"coming",388
"fact",387
"words",387
"spare",386
"Let",384
"tcot",381
"Hey",381
"look",380
"Great",379
"FOR",378
"were",378
"shd",377
"posturing",376
"tower",376
"follow",375
"With",374
"BarackObama",373
"it…",373
"come",372
"New",372
"isn",370
"media",369
"general",369
"world",368
"Women4Trump",366
"bad",366
"jobs",365
"Self",363
"KamVTV",363
"using",363
"😋",363
"Here",362
"himself",362
"7mIc…",362
"MyDaughtersArmy",362
"opponent",360
"LindseyGrahamSC",360
"eat",360
"many",359
"Establishment",356
"GovMikeHuckabee",356
"PlaysTrumpCard",355
"”",355
"very",354
"white",354
"list",350
"Just",350
"Serving",350
"rally",350
"other",348
"Protesters",346
"DESPERATE",346
"mellberr",345
"holy",345
"womancard",344
"worse",344
"TrumpRally",342
"sure",341
"FBI",341
"destroy",340
"men",340
"having",339
"crap",339
"lot",338
"NEPrimary",337
"SenSanders",336
"oxminaox",336
"care",336
"political",336
"8zpUrUeGbC",336
